"X","x","y","z"
"iCg",6150,2250,4550
"iAcb",7300,6500,4550
"iTC",6350,6350,6550
"iAI",8150,4400,3300
"iAI-b",9200,4700,4550
"iAIP",9950,5050,6550
"iMDThal",6250,4000,6550
"iDpMe",6850,3450,8150
"iAu",10050,2650,8150
"iBLP",9200,5850,8150
"iBLA",8900,5900,6550
"iBMA",8150,7000,6550
"iCA",8400,5750,6550
"iCl",8650,4950,4550
"iPMCo",8650,6600,8150
"iCPu",8200,4150,5550
"iPnO",6600,5500,9550
"iHipp",7450,2100,7550
"iEct",10300,4150,8650
"iLEnt",9900,5600,8150
"iEnt",9800,4850,9550
"iDEn",8550,5500,4550
"iEn",9400,5500,6550
"iIC",7000,3800,9550
"iLDThal",7050,3250,6550
"iCauThal",7900,3850,8150
"iLS",6100,4300,4550
"iMamm",6000,6150,8150
"iM1",7950,2700,3300
"iM2",6600,2200,3300
"iM",7350,1800,4550
"iSC",6450,2400,8150
"iMS",5800,6150,4550
"iDP",7550,4150,3300
"iMO",6100,3900,3300
"iVO",6600,3700,3300
"iPAG",6100,3050,9200
"iPS",8350,3300,9550
"iPRh",10300,4300,8800
"iPir",9200,6600,6200
"iPrL",6150,3100,3300
"iVLThal",6150,5000,6550
"iRSC",6350,850,6550
"iRSC-b",6150,850,8150
"iRSA",7200,1250,9550
"iVMThal",7250,4150,6550
"iSuC",6450,1950,9550
"iot",7300,7250,4550
"iSN",7250,5250,8150
"iS2",9750,2850,6550
"iS1",9200,3050,4550
"iS1-b",8550,1600,6550
"iSuM",5950,5650,8150
"iTeA",10450,3650,8550
"iIns",10100,4400,6550
"iV",8250,900,8150
"iV-b",8500,1500,9550
"iVTA",6550,5250,8150
"cCg",5250,2250,4550
"cAcb",4100,6500,4550
"cTC",5050,6350,6550
"cAI",3250,4400,3300
"cAI-b",2200,4700,4550
"cAIP",1450,5050,6550
"cMDThal",5150,4000,6550
"cDpMe",4550,3450,8150
"cAu",1350,2650,8150
"cBLP",2200,5850,8150
"cBLA",2500,5900,6550
"cBMA",3250,7000,6550
"cCA",3000,5750,6550
"cCl",2750,4950,4550
"cPMCo",2750,6600,8150
"cCPu",3200,4150,5550
"cPnO",4800,5500,9550
"cHipp",3950,2100,7550
"cEct",1100,4150,8650
"cLEnt",1500,5600,8150
"cEnt",1600,4850,9550
"cDEn",2850,5500,4550
"cEn",2000,5500,6550
"cIC",4400,3800,9550
"cLDThal",4350,3250,6550
"cCauThal",3500,3850,8150
"cLS",5300,4300,4550
"cMamm",5400,6150,8150
"cM1",3450,2700,3300
"cM2",4800,2200,3300
"cM",4050,1800,4550
"cSC",4950,2400,8150
"cMS",5600,6150,4550
"cDP",3850,4150,3300
"cMO",5300,3900,3300
"cVO",4800,3700,3300
"cPAG",5300,3050,9200
"cPS",3050,3300,9550
"cPRh",1100,4300,8800
"cPir",2200,6600,6200
"cPrL",5250,3100,3300
"cVLThal",5250,5000,6550
"cRSC",5050,850,6550
"cRSC-b",5250,850,8150
"cRSA",4200,1250,9550
"cVMThal",4150,4150,6550
"cSuC",4950,1950,9550
"cot",4100,7250,4550
"cSN",4150,5250,8150
"cS2",1650,2850,6550
"cS1",2200,3050,4550
"cS1-b",2850,1600,6550
"cSuM",5450,5650,8150
"cTeA",950,3650,8550
"cIns",1300,4400,6550
"cV",3150,900,8150
"cV-b",2900,1500,9550
"cVTA",4850,5250,8150
